stop_id,stop_name,stop_lat,stop_lon
700000000815,Hewitt Parade,0,0
700000000819,Kings Road,0,0
700000000821,Clara Park,0,0
700000014761,Clara Road Entrance,0,0
700000000853,Clarawood Park,0,0
700000014764,Clarawood Grove,0,0
700000000847,Clarawood Flats,0,0
700000000839,Knock Grove,0,0
700000000627,Knockvale Park,0,0
700000000629,Marie Curie Centre,0,0
700000000631,Knock Headquarters,0,0
700000001741,Kingsway,0,0
700000001742,Kingsway Park,0,0
700000001743,Our Lady & St Patricks,0,0
700000000715,Briarwood Park,0,0
700000000717,Lower Braniel Road,0,0
700000001826,Braniel,0,0
700000000697,Braniel,0,0
700000001721,East Link,0,0
700000001722,Coronation Park,0,0
700000002782,Millars Forge,0,0
700000016070,Millmount,0,0
700000001803,Donegall Square West,0,0
700000000699,Lower Braniel Road,0,0
700000000701,Briarwood Park,0,0
700000001744,Gilnahirk Rise,0,0
700000001754,Our Lady & St Patricks,0,0
700000001755,Kingsway Park,0,0
700000001756,Cherryvalley,0,0
700000001757,Barnett's Road,0,0
700000001758,Towell House,0,0
700000000633,Knock Headquarters,0,0
700000000635,Marie Curie Centre,0,0
700000000637,Knockvale Park,0,0
700000000843,Clarawood Shops,0,0
700000000845,Clarawood Flats,0,0
700000000849,Clarawood Grove,0,0
700000000851,Clarawood Park,0,0
700000014763,Clara Road,0,0
700000000831,Clara Park,0,0
700000000833,Kings Road,0,0
700000000837,Hewitt Parade,0,0
700000000881,Ballyhackamore,0,0
700000000795,Cyprus Gardens,0,0
700000000797,Orangefield Road,0,0
700000000799,Bloomfield Roundabout,0,0
700000000801,Lichfield Avenue,0,0
